"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","George Kittle (SF)","7","8","76","10.9","25","1","1","0","0","0","0","1","13.6","13.6","99.1%"
"2","Trey McBride (ARI)","6","6","67","11.2","21","1","0","0","0","0","0","1","12.7","12.7","98.4%"
"3","Hunter Henry (NE)","8","12","109","13.6","35","1","0","0","0","0","0","1","10.9","10.9","53.6%"
"4","Brock Bowers (LV)","9","9","98","10.9","27","2","0","0","0","0","0","1","9.8","9.8","97.9%"
"5","Mike Gesicki (CIN)","7","9","91","13.0","37","1","0","0","0","0","0","1","9.1","9.1","31.5%"
"6","Elijah Higgins (ARI)","1","1","18","18.0","18","0","1","0","0","0","0","1","7.8","7.8","0.6%"
"7","Darnell Washington (PIT)","1","1","5","5.0","5","0","1","0","0","0","0","1","6.5","6.5","0.3%"
"8","Brenton Strange (JAC)","3","6","65","21.7","30","2","0","0","0","0","0","1","6.5","6.5","9.9%"
"9","Zach Ertz (WAS)","4","4","62","15.5","21","2","0","0","0","0","0","1","6.2","6.2","54.2%"
"10","Jonnu Smith (MIA)","6","7","53","8.8","15","0","0","0","0","0","0","1","5.3","5.3","32.2%"
"11","Mark Andrews (BAL)","4","5","51","12.8","16","0","0","0","0","0","0","1","5.1","5.1","91.0%"
"12","Luke Schoonmaker (DAL)","6","6","43","7.2","15","0","0","0","0","0","0","1","4.3","4.3","6.2%"
"13","Pat Freiermuth (PIT)","4","4","39","9.8","14","0","0","0","0","0","0","1","3.9","3.9","48.7%"
"14","Dallas Goedert (PHI)","3","4","38","12.7","16","0","0","0","0","0","0","1","3.8","3.8","82.0%"
"15","Dalton Kincaid (BUF)","4","4","33","8.3","9","0","0","0","0","0","0","1","3.3","3.3","83.7%"
"16","Erick All Jr. (CIN)","4","4","32","8.0","19","0","0","0","0","0","0","1","3.2","3.2","1.0%"
"17","Will Dissly (LAC)","3","3","29","9.7","15","0","0","0","0","0","0","1","2.9","2.9","30.7%"
"18","Drew Sample (CIN)","3","3","28","9.3","12","0","0","0","0","0","0","1","2.8","2.8","0.1%"
"19","Cole Kmet (CHI)","4","5","27","6.8","12","0","0","0","0","0","0","1","2.7","2.7","56.1%"
"20","Eric Saubert (SF)","2","2","26","13.0","14","0","0","0","0","0","0","1","2.6","2.6","0.2%"
"21","Isaiah Likely (BAL)","2","3","26","13.0","15","0","0","0","0","0","0","1","2.6","2.6","46.3%"
"22","Tommy Tremble (CAR)","3","4","23","7.7","12","0","0","0","0","0","0","1","2.3","2.3","0.1%"
"23","Mo Alie-Cox (IND)","1","1","22","22.0","22","1","0","0","0","0","0","1","2.2","2.2","0.1%"
"24","Dalton Schultz (HOU)","2","3","21","10.5","16","0","0","0","0","0","0","1","2.1","2.1","57.5%"
"25","Kyle Pitts (ATL)","3","4","20","6.7","11","0","0","0","0","0","0","1","2.0","2.0","89.9%"
"26","Grant Calcaterra (PHI)","2","2","19","9.5","15","0","0","0","0","0","0","1","1.9","1.9","0.6%"
"27","Taysom Hill (NO)","1","1","1","1.0","1","0","0","3","18","0","0","1","1.9","1.9","45.2%"
"28","Cade Stover (HOU)","1","1","18","18.0","18","0","0","0","0","0","0","1","1.8","1.8","0.7%"
"29","Chig Okonkwo (TEN)","3","3","16","5.3","8","0","0","0","0","0","0","1","1.6","1.6","6.8%"
"30","Tucker Kraft (GB)","2","2","16","8.0","17","0","0","0","0","0","0","1","1.6","1.6","45.0%"
"31","Greg Dulcich (DEN)","3","8","16","5.3","9","0","0","0","0","0","0","1","1.6","1.6","3.0%"
"32","Noah Fant (SEA)","1","3","14","14.0","14","0","0","0","0","0","0","1","1.4","1.4","15.3%"
"33","Luke Farrell (JAC)","2","2","13","6.5","7","0","0","0","0","0","0","1","1.3","1.3","0.0%"
"34","Sam LaPorta (DET)","2","3","13","6.5","7","0","0","0","0","0","0","1","1.3","1.3","95.8%"
"35","Josh Whyle (TEN)","2","2","13","6.5","12","0","0","0","0","0","0","1","1.3","1.3","0.0%"
"36","Johnny Mundt (MIN)","2","3","12","6.0","6","0","0","0","0","0","0","1","1.2","1.2","0.6%"
"37","Drew Ogletree (IND)","1","2","12","12.0","12","0","0","0","0","0","0","1","1.2","1.2","0.0%"
"38","Colby Parkinson (LAR)","1","2","12","12.0","12","0","0","0","0","0","0","1","1.2","1.2","16.3%"
"39","Michael Mayer (LV)","1","1","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","2.3%"
"40","Tyler Conklin (NYJ)","1","2","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","16.2%"
"41","Jordan Akins (CLE)","1","1","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","0.7%"
"42","Kylen Granson (IND)","1","2","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","0.2%"
"43","Ja'Tavion Sanders (CAR)","2","2","8","4.0","6","0","0","0","0","0","0","1","0.8","0.8","5.0%"
"44","Durham Smythe (MIA)","1","1","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","0.1%"
"45","Jared Wiley (KC)","1","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","0.1%"
"46","Travis Kelce (KC)","1","3","5","5.0","5","0","0","1","1","0","0","1","0.6","0.6","99.7%"
"47","Luke Musgrave (GB)","1","1","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","13.4%"
"48","Austin Hooper (NE)","1","1","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.7%"
"49","Hayden Hurst (LAC)","1","2","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","2.0%"
"50","John Bates (WAS)","1","1","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.0%"
"51","Charlie Kolar (BAL)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","0.1%"
"52","Brevin Jordan (HOU)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","0.1%"
