"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Isaiah Likely (BAL)","9","12","111","12.3","49","1","1","0","0","0","0","1","17.1","17.1","46.3%"
"2","Foster Moreau (NO)","4","4","43","10.8","22","1","1","0","0","0","0","1","10.3","10.3","0.9%"
"3","Juwan Johnson (NO)","2","3","26","13.0","16","0","1","0","0","0","0","1","8.6","8.6","4.8%"
"4","Kyle Pitts (ATL)","3","3","26","8.7","12","0","1","0","0","0","0","1","8.6","8.6","89.9%"
"5","Chig Okonkwo (TEN)","2","2","15","7.5","17","0","1","0","0","0","0","1","7.5","7.5","6.8%"
"6","Brock Bowers (LV)","6","8","58","9.7","26","1","0","0","0","0","0","1","5.8","5.8","97.9%"
"7","Colby Parkinson (LAR)","4","5","47","11.8","20","1","0","0","0","0","0","1","4.7","4.7","16.3%"
"8","Sam LaPorta (DET)","4","5","45","11.3","18","0","0","0","0","0","0","1","4.5","4.5","95.8%"
"9","David Njoku (CLE)","4","5","44","11.0","29","1","0","0","0","0","0","1","4.4","4.4","88.5%"
"10","George Kittle (SF)","4","5","40","10.0","26","1","0","0","0","0","0","1","4.0","4.0","99.1%"
"11","Tucker Kraft (GB)","2","3","37","18.5","29","1","0","0","0","0","0","1","3.7","3.7","45.0%"
"12","Noah Gray (KC)","3","3","37","12.3","13","0","0","0","0","0","0","1","3.7","3.7","3.0%"
"13","Taysom Hill (NO)","1","2","1","1.0","1","0","0","5","35","0","0","1","3.6","3.6","45.2%"
"14","Travis Kelce (KC)","3","4","34","11.3","23","1","0","0","0","0","0","1","3.4","3.4","99.7%"
"15","Hayden Hurst (LAC)","2","3","33","16.5","27","1","0","0","0","0","0","1","3.3","3.3","2.0%"
"16","Dallas Goedert (PHI)","4","5","31","7.8","21","1","0","0","0","0","0","1","3.1","3.1","82.0%"
"17","Austin Hooper (NE)","2","4","31","15.5","16","0","0","0","0","0","0","1","3.1","3.1","0.7%"
