"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Tucker Kraft (GB)","4","5","88","22.0","66","1","2","0","0","0","0","1","20.8","20.8","45.0%"
"2","Brock Bowers (LV)","8","12","97","12.1","57","1","1","0","0","0","0","1","15.7","15.7","97.9%"
"3","Isaiah Likely (BAL)","3","3","13","4.3","6","0","2","0","0","0","0","1","13.3","13.3","46.3%"
"4","Charlie Kolar (BAL)","3","4","64","21.3","55","1","1","1","2","0","0","1","12.6","12.6","0.1%"
"5","George Kittle (SF)","8","12","64","8.0","15","0","1","0","0","0","0","1","12.4","12.4","99.1%"
"6","Mo Alie-Cox (IND)","2","4","37","18.5","19","0","1","0","0","0","0","1","9.7","9.7","0.1%"
"7","Kyle Pitts (ATL)","7","8","88","12.6","32","1","0","0","0","0","0","1","8.8","8.8","89.9%"
"8","Brenton Strange (JAC)","4","4","24","6.0","12","0","1","0","0","0","0","1","8.4","8.4","9.9%"
"9","Connor Heyward (PIT)","2","4","23","11.5","16","0","1","0","0","0","0","1","8.3","8.3","0.1%"
"10","Jordan Akins (CLE)","3","3","22","7.3","10","0","1","0","0","0","0","1","8.2","8.2","0.7%"
"11","Foster Moreau (NO)","2","2","13","6.5","7","0","1","0","0","0","0","1","7.3","7.3","0.9%"
"12","Travis Kelce (KC)","9","10","70","7.8","21","1","0","0","0","0","0","1","7.0","7.0","99.7%"
"13","Jake Ferguson (DAL)","6","7","70","11.7","27","1","0","0","0","0","0","1","7.0","7.0","82.4%"
"14","Pat Freiermuth (PIT)","3","3","22","7.3","19","0","1","0","0","0","1","1","6.2","6.2","48.7%"
"15","Elijah Higgins (ARI)","1","1","2","2.0","2","0","1","0","0","0","0","1","6.2","6.2","0.6%"
"16","Jonnu Smith (MIA)","5","8","62","12.4","17","0","0","1","-1","0","0","1","6.1","6.1","32.2%"
"17","Cole Kmet (CHI)","3","4","57","19.0","26","2","0","0","0","0","0","1","5.7","5.7","56.1%"
"18","Tyler Conklin (NYJ)","6","9","55","9.2","25","1","0","0","0","0","0","1","5.5","5.5","16.2%"
"19","Mark Andrews (BAL)","4","5","55","13.8","27","1","0","0","0","0","0","1","5.5","5.5","91.0%"
"20","Trey McBride (ARI)","6","9","53","8.8","22","1","0","0","0","0","0","1","5.3","5.3","98.4%"
"21","Colby Parkinson (LAR)","7","13","52","7.4","9","0","0","0","0","0","0","1","5.2","5.2","16.3%"
"22","Theo Johnson (NYG)","5","5","48","9.6","22","1","0","0","0","0","0","1","4.8","4.8","5.0%"
"23","Cade Otton (TB)","3","4","44","14.7","22","1","0","0","0","0","0","1","4.4","4.4","65.0%"
"24","Dalton Schultz (HOU)","4","6","34","8.5","18","0","0","0","0","0","0","1","3.4","3.4","57.5%"
"25","Dalton Kincaid (BUF)","2","6","34","17.0","26","1","0","0","0","0","0","1","3.4","3.4","83.7%"
"26","Hunter Henry (NE)","2","4","32","16.0","25","1","0","0","0","0","0","1","3.2","3.2","53.6%"
"27","Johnny Mundt (MIN)","2","2","31","15.5","20","1","0","0","0","0","0","1","3.1","3.1","0.6%"
"28","Mike Gesicki (CIN)","2","2","31","15.5","19","0","0","0","0","0","0","1","3.1","3.1","31.5%"
"29","Juwan Johnson (NO)","5","5","31","6.2","11","0","0","0","0","0","0","1","3.1","3.1","4.8%"
